City,Date,Temperature,Consumption,Humidity,Wind,Pressure
Jeddah,2025-07-16,39.6,1323.33,68,16.7,981
Jeddah,2025-07-17,39.2,1775.84,50,9.2,1031
Jeddah,2025-07-18,41.8,830.93,79,20.0,1026
Jeddah,2025-07-19,44.6,1346.36,79,15.0,995
Jeddah,2025-07-20,32.9,1337.7,78,4.7,1033
Jeddah,2025-07-21,27.3,1022.15,88,17.2,1006
Jeddah,2025-07-22,33.0,1962.38,30,16.8,1014
Jeddah,2025-07-23,37.8,1304.18,37,7.7,1041
Jeddah,2025-07-24,42.6,1041.82,72,25.2,1047
Makkah,2025-06-25,35.2,1618.78,69,7.7,1037
Makkah,2025-06-26,35.2,1534.49,43,15.4,986
Makkah,2025-06-27,21.4,1267.6,74,23.8,1043
Makkah,2025-06-28,40.1,1642.26,35,11.5,1008
Makkah,2025-06-29,41.8,1567.14,89,24.9,985
Makkah,2025-06-30,20.7,1303.71,81,12.4,1011
Makkah,2025-07-01,36.5,1946.89,16,21.6,1029
Makkah,2025-07-02,20.1,1218.35,11,14.2,1027
Makkah,2025-07-03,31.0,1623.23,59,5.5,985
Makkah,2025-07-04,20.4,1401.12,84,24.9,1040
Makkah,2025-07-05,44.2,1434.62,56,3.4,1040
Makkah,2025-07-06,44.4,929.01,53,1.4,979
Makkah,2025-07-07,22.4,1929.52,86,6.5,979
Makkah,2025-07-08,34.5,1013.55,70,24.9,986
Makkah,2025-07-09,37.6,1212.3,46,27.9,1005
Makkah,2025-07-10,37.8,1277.64,51,29.8,1049
Makkah,2025-07-11,21.2,1027.59,11,29.7,997
Makkah,2025-07-12,25.3,1408.0,64,2.9,951
Makkah,2025-07-13,41.7,1267.15,52,9.3,962
Makkah,2025-07-14,20.5,1636.76,87,26.8,998
Makkah,2025-07-15,24.2,1462.09,67,28.4,980
Makkah,2025-07-16,38.6,822.6,86,14.2,1024
Makkah,2025-07-17,27.0,1629.19,72,24.4,951
Makkah,2025-07-18,27.4,1068.28,79,25.2,987
Makkah,2025-07-19,29.6,1089.56,15,12.3,1005
Makkah,2025-07-20,31.3,1119.11,48,18.1,1007
Makkah,2025-07-21,30.0,1404.04,84,1.5,993
Makkah,2025-07-22,26.1,913.13,15,5.1,1023
Makkah,2025-07-23,26.2,1302.95,86,8.9,969
Makkah,2025-07-24,33.9,1634.4,11,19.5,992
Madinah,2025-06-25,28.0,1010.5,83,24.0,995
Madinah,2025-06-26,31.4,1307.8,84,29.4,1046
Madinah,2025-06-27,27.1,1296.62,79,20.7,1026
Madinah,2025-06-28,41.5,1424.6,76,13.9,951
Madinah,2025-06-29,29.2,933.34,73,8.8,1009
Madinah,2025-06-30,22.5,1434.61,80,21.2,1014
Madinah,2025-07-01,37.5,1312.38,61,5.2,1019
Madinah,2025-07-02,41.3,1592.47,51,6.8,961
Madinah,2025-07-03,27.3,1925.64,82,26.6,1019
Madinah,2025-07-04,42.4,1280.25,11,3.2,1010
Madinah,2025-07-05,41.1,1338.68,63,2.1,992
Madinah,2025-07-06,29.0,1203.9,44,3.9,1043
Madinah,2025-07-07,22.3,1414.95,43,8.1,1012
Madinah,2025-07-08,22.6,1525.55,61,18.4,959
Madinah,2025-07-09,29.1,1097.35,74,12.9,972
Madinah,2025-07-10,34.5,1318.38,60,6.7,976
Madinah,2025-07-11,31.3,1514.28,41,28.4,1002
Madinah,2025-07-12,31.0,1881.12,66,28.3,953
Madinah,2025-07-13,26.2,1546.08,80,27.0,1007
Madinah,2025-07-14,26.2,1947.98,49,5.9,961
Madinah,2025-07-15,42.7,1506.15,68,20.3,1040
Madinah,2025-07-16,26.2,1802.82,25,27.4,1033
Madinah,2025-07-17,21.4,1155.35,55,6.3,1009
Madinah,2025-07-18,43.0,1745.51,77,18.8,1012
Madinah,2025-07-19,27.4,1576.8,73,17.9,1024
Madinah,2025-07-20,32.1,1355.56,68,25.8,1009
Madinah,2025-07-21,27.6,1212.3,24,17.4,972
Madinah,2025-07-22,29.5,1529.21,41,20.2,956
Madinah,2025-07-23,21.7,1246.48,14,29.1,952
Madinah,2025-07-24,34.7,1020.58,38,14.0,964
Dammam,2025-06-25,26.8,1796.94,84,5.3,1035
Dammam,2025-06-26,31.1,809.39,25,20.9,1034
Dammam,2025-06-27,35.1,1196.29,34,5.1,1031
Dammam,2025-06-28,35.2,1745.43,53,15.2,1006
Dammam,2025-06-29,42.1,1639.93,82,15.4,1041
Dammam,2025-06-30,43.5,1392.88,25,14.7,985
Dammam,2025-07-01,22.8,1112.51,38,3.8,993
Dammam,2025-07-02,39.6,1002.64,38,7.3,984
Dammam,2025-07-03,35.9,1341.77,80,23.9,1003
Dammam,2025-07-04,28.3,1589.82,57,9.0,1012
Dammam,2025-07-05,32.1,1909.03,76,22.0,982
Dammam,2025-07-06,24.1,1179.63,31,29.1,958
Dammam,2025-07-07,37.0,1060.99,18,8.1,994
Dammam,2025-07-08,27.5,1746.72,85,12.4,970
Dammam,2025-07-09,23.0,1673.31,14,22.4,1015
Dammam,2025-07-10,29.6,1594.68,48,7.8,1009
Dammam,2025-07-11,34.0,843.74,54,10.6,963
Dammam,2025-07-12,29.0,1843.81,33,28.8,974
Dammam,2025-07-13,30.9,1017.35,82,3.7,1016
Dammam,2025-07-14,40.6,1932.18,59,15.3,1014
Dammam,2025-07-15,31.8,1405.71,32,19.6,958
Dammam,2025-07-16,41.7,927.3,52,4.7,1035
Dammam,2025-07-17,31.4,1352.4,69,26.4,1047
Dammam,2025-07-18,20.8,1742.15,50,4.8,1017
Dammam,2025-07-19,44.4,868.3,38,15.1,964
Dammam,2025-07-20,24.1,1895.85,10,9.6,993
Dammam,2025-07-21,39.5,1503.61,69,9.3,993
Dammam,2025-07-22,39.2,1169.81,70,21.8,1039
Dammam,2025-07-23,24.9,1402.72,69,2.3,1017
Dammam,2025-07-24,23.8,1423.92,34,25.3,1044
Tabuk,2025-06-25,38.1,1357.12,26,6.1,1013
Tabuk,2025-06-26,31.0,1359.06,25,18.0,981
Tabuk,2025-06-27,22.2,1824.66,13,19.2,961
Tabuk,2025-06-28,40.0,1140.3,85,5.1,1013
Tabuk,2025-06-29,32.2,1740.29,28,13.6,991
Tabuk,2025-06-30,30.0,1733.26,35,11.3,963
Tabuk,2025-07-01,30.6,957.52,60,28.2,1033
Tabuk,2025-07-02,24.7,1139.39,57,27.5,1008
Tabuk,2025-07-03,40.1,1609.48,39,7.6,965
Tabuk,2025-07-04,28.9,899.15,70,15.6,957
Tabuk,2025-07-05,39.6,1356.24,65,17.6,979
Tabuk,2025-07-06,28.8,1434.51,43,17.2,1017
Tabuk,2025-07-07,20.1,1716.84,62,4.1,997
Tabuk,2025-07-08,35.6,1940.42,54,22.5,1045
Tabuk,2025-07-09,31.6,1459.44,10,13.6,962
Tabuk,2025-07-10,21.6,1168.08,47,20.6,1045
Tabuk,2025-07-11,24.2,1171.61,19,27.0,990
Tabuk,2025-07-12,35.8,1077.08,20,13.1,992
Tabuk,2025-07-13,33.6,1434.53,78,19.1,960
Tabuk,2025-07-14,23.7,1217.41,51,4.0,1030
Tabuk,2025-07-15,38.1,1397.91,10,2.8,1048
Tabuk,2025-07-16,35.9,1104.51,73,20.0,962
Tabuk,2025-07-17,41.8,1439.28,28,20.6,987
Tabuk,2025-07-18,44.4,1143.45,37,22.0,1019
Tabuk,2025-07-19,27.1,860.36,39,5.5,955
Tabuk,2025-07-20,23.9,1722.56,14,20.5,1045
Tabuk,2025-07-21,30.0,831.27,82,1.8,964
Tabuk,2025-07-22,28.9,1448.97,34,18.5,994
Tabuk,2025-07-23,31.7,880.19,55,17.8,1045
Tabuk,2025-07-24,34.3,1229.93,69,16.3,1035
Abha,2025-06-25,42.2,1574.88,70,28.9,994
Abha,2025-06-26,42.7,1930.69,81,14.1,958
Abha,2025-06-27,33.6,1531.8,46,12.7,1036
Abha,2025-06-28,29.3,1865.47,50,12.3,996
Abha,2025-06-29,41.0,1335.43,79,2.4,1039
Abha,2025-06-30,32.7,1067.54,69,16.1,1033
Abha,2025-07-01,25.0,857.49,73,26.1,1006
Abha,2025-07-02,24.5,1487.49,55,6.9,1023
Abha,2025-07-03,39.2,1748.71,53,14.6,1007
Abha,2025-07-04,22.5,1705.27,40,27.0,1025
Abha,2025-07-05,38.4,984.05,14,3.1,1010
Abha,2025-07-06,37.4,1075.33,19,11.0,971
Abha,2025-07-07,25.6,1477.91,59,15.7,983
Abha,2025-07-08,21.0,1437.63,36,13.5,1032
Abha,2025-07-09,21.8,1589.4,44,2.8,983
Abha,2025-07-10,38.2,1100.41,76,28.4,1022
Abha,2025-07-11,23.8,1541.92,37,17.8,953
Abha,2025-07-12,41.5,996.6,38,14.3,1046
Abha,2025-07-13,41.6,951.8,88,16.3,1048
Abha,2025-07-14,30.4,1842.15,75,10.7,1031
Abha,2025-07-15,44.0,1516.34,59,11.2,979
Abha,2025-07-16,30.7,1759.98,28,14.2,964
Abha,2025-07-17,42.0,825.34,83,29.2,1011
Abha,2025-07-18,34.1,1842.81,87,5.2,1002
Abha,2025-07-19,39.4,1963.76,40,8.0,1004
Abha,2025-07-20,27.4,854.69,27,21.7,1031
Abha,2025-07-21,21.5,1835.47,21,27.5,1028
Abha,2025-07-22,39.4,1205.03,87,19.5,994
Abha,2025-07-23,36.2,830.59,79,26.3,1048
Abha,2025-07-24,20.9,1621.33,63,15.8,966
Buraidah,2025-06-25,39.0,1827.62,48,10.9,951
Buraidah,2025-06-26,31.0,1283.36,15,1.2,966
Buraidah,2025-06-27,39.3,1720.8,78,11.8,1023
Buraidah,2025-06-28,31.1,1645.98,21,24.2,993
Buraidah,2025-06-29,22.1,1687.51,31,5.9,1040
Buraidah,2025-06-30,30.9,1606.39,48,19.6,967
Buraidah,2025-07-01,27.2,1135.92,38,27.7,984
Buraidah,2025-07-02,21.7,1639.42,89,7.8,1043
Buraidah,2025-07-03,24.2,1911.1,23,13.4,983
Buraidah,2025-07-04,26.5,886.99,74,19.1,965
Buraidah,2025-07-05,20.1,921.63,52,3.0,1007
Buraidah,2025-07-06,31.0,1318.32,82,21.4,1036
Buraidah,2025-07-07,31.4,992.39,23,11.0,1047
Buraidah,2025-07-08,24.9,1304.19,49,5.7,1042
Buraidah,2025-07-09,26.6,1142.72,14,23.6,1024
Buraidah,2025-07-10,36.0,1819.43,19,9.6,1002
Buraidah,2025-07-11,26.5,1332.86,82,27.7,965
Buraidah,2025-07-12,23.7,945.8,56,23.0,1042
Buraidah,2025-07-13,28.1,928.47,76,28.8,1010
Buraidah,2025-07-14,29.1,942.56,20,5.7,951
Buraidah,2025-07-15,22.9,1269.14,55,7.1,974
Buraidah,2025-07-16,34.9,1345.57,56,25.2,1040
Buraidah,2025-07-17,32.3,1341.55,66,26.5,1040
Buraidah,2025-07-18,34.8,841.49,28,28.1,1038
Buraidah,2025-07-19,35.8,1200.86,24,10.2,974
Buraidah,2025-07-20,32.9,1874.79,39,23.7,1006
Buraidah,2025-07-21,43.0,903.87,74,4.1,1028
Buraidah,2025-07-22,43.1,1389.68,55,27.7,971
Buraidah,2025-07-23,26.1,1167.77,39,15.7,1049
Buraidah,2025-07-24,23.1,1063.82,81,3.2,976
Hail,2025-06-25,27.9,1599.09,86,28.4,1028
Hail,2025-06-26,33.5,1385.24,44,29.9,980
Hail,2025-06-27,44.4,1118.37,13,22.7,1014
Hail,2025-06-28,32.8,981.21,61,10.1,1030
Hail,2025-06-29,40.0,1249.07,30,10.9,953
Hail,2025-06-30,29.1,1273.1,63,26.4,995
Hail,2025-07-01,26.5,1545.52,51,13.6,1007
Hail,2025-07-02,24.2,1736.61,10,26.7,1043
Hail,2025-07-03,38.5,1535.25,19,19.8,1022
Hail,2025-07-04,24.9,939.76,66,6.6,1002
Hail,2025-07-05,20.4,1617.18,43,11.0,1002
Hail,2025-07-06,34.5,884.55,62,1.6,1016
Hail,2025-07-07,36.7,813.97,10,17.5,991
Hail,2025-07-08,29.3,1601.49,46,28.7,1029
Hail,2025-07-09,41.0,1838.97,80,26.3,980
Hail,2025-07-10,26.8,850.86,78,12.1,983
Hail,2025-07-11,25.7,1831.78,44,20.0,982
Hail,2025-07-12,23.5,1201.14,13,12.6,1041
Hail,2025-07-13,38.6,1223.82,75,6.5,964
Hail,2025-07-14,27.7,1682.55,36,13.0,1046
Hail,2025-07-15,31.9,1428.11,30,20.3,1018
Hail,2025-07-16,42.8,1724.68,49,14.1,1049
Hail,2025-07-17,42.7,1056.77,11,27.2,1002
Hail,2025-07-18,34.7,1762.88,27,14.0,983
Hail,2025-07-19,41.2,1259.33,26,10.5,1013
Hail,2025-07-20,33.4,1371.14,54,26.5,957
Hail,2025-07-21,40.7,956.6,10,24.6,984
Hail,2025-07-22,28.1,1373.63,75,15.8,952
Hail,2025-07-23,37.5,1050.57,23,2.6,1014
Hail,2025-07-24,34.2,1553.9,35,21.8,1044
Najran,2025-06-25,43.8,1967.41,14,22.8,1010
Najran,2025-06-26,30.0,1012.29,21,12.3,955
Najran,2025-06-27,40.4,1261.37,13,10.6,1047
Najran,2025-06-28,42.8,1021.1,32,2.4,1037
Najran,2025-06-29,34.3,1754.68,34,22.2,967
Najran,2025-06-30,41.4,1648.52,25,2.0,1024
Najran,2025-07-01,36.5,889.43,23,25.1,1019
Najran,2025-07-02,42.6,836.8,72,23.9,1032
Najran,2025-07-03,41.8,1650.57,44,13.4,958
Najran,2025-07-04,29.5,1248.93,66,3.1,1011
Najran,2025-07-05,33.7,1952.14,57,24.5,1037
Najran,2025-07-06,43.1,1945.35,43,9.0,987
Najran,2025-07-07,28.0,1844.36,42,22.8,1010
Najran,2025-07-08,33.4,1727.24,86,7.2,968
Najran,2025-07-09,22.5,1416.2,64,11.3,971
Najran,2025-07-10,33.0,1607.43,71,4.3,961
Najran,2025-07-11,32.2,1504.83,15,28.2,998
Najran,2025-07-12,30.8,1158.31,28,2.2,990
Najran,2025-07-13,38.7,1370.43,25,4.8,1000
Najran,2025-07-14,38.6,1499.09,42,1.5,1039
Najran,2025-07-15,33.0,1463.75,87,11.8,970
Najran,2025-07-16,23.1,981.43,54,6.9,1003
Najran,2025-07-17,21.6,1130.72,38,22.2,1018
Najran,2025-07-18,20.0,1272.96,45,15.7,1031
Najran,2025-07-19,31.6,1561.75,61,20.1,1039
Najran,2025-07-20,27.2,1931.81,76,5.7,968
Najran,2025-07-21,41.0,1109.23,73,29.0,1033
Najran,2025-07-22,33.6,1716.38,77,3.4,1038
Najran,2025-07-23,31.7,1774.95,10,26.5,1041
Najran,2025-07-24,27.4,1464.65,66,25.4,976
Jazan,2025-06-25,37.8,1433.07,28,7.9,972
Jazan,2025-06-26,34.1,1176.73,63,29.8,1049
Jazan,2025-06-27,29.1,1079.71,49,19.4,1023
Jazan,2025-06-28,28.4,1343.98,57,26.6,971
Jazan,2025-06-29,42.5,1037.49,83,27.7,976
Jazan,2025-06-30,20.0,1151.5,61,20.1,992
Jazan,2025-07-01,34.2,1373.67,46,9.0,1044
Jazan,2025-07-02,26.7,1055.69,76,3.1,1025
Jazan,2025-07-03,29.2,1168.27,25,25.9,988
Jazan,2025-07-04,32.3,1677.11,48,10.4,1041
Jazan,2025-07-05,42.6,1701.7,10,7.6,982
Jazan,2025-07-06,22.2,1642.89,26,1.9,989
Jazan,2025-07-07,30.8,1785.61,44,29.0,962
Jazan,2025-07-08,23.5,1461.89,88,11.3,1031
Jazan,2025-07-09,24.9,1147.48,42,15.3,973
Jazan,2025-07-10,26.1,1476.27,60,13.3,1031
Jazan,2025-07-11,20.3,1420.97,15,14.7,988
Jazan,2025-07-12,40.0,1586.58,35,23.2,1004
Jazan,2025-07-13,27.9,1235.95,71,6.1,977
Jazan,2025-07-14,42.2,803.33,75,7.1,1005
Jazan,2025-07-15,23.7,1358.45,48,21.4,1041
Jazan,2025-07-16,43.1,933.68,31,13.6,952
Jazan,2025-07-17,20.6,1119.55,75,11.2,1042
Jazan,2025-07-18,44.5,1337.26,78,9.8,1014
Jazan,2025-07-19,33.7,1880.59,18,21.7,987
Jazan,2025-07-20,36.0,1408.43,74,14.4,1031
Jazan,2025-07-21,33.2,845.61,61,11.0,974
Jazan,2025-07-22,42.9,1586.34,27,7.6,969
Jazan,2025-07-23,30.6,1004.08,86,1.9,983
Jazan,2025-07-24,25.5,1059.76,32,20.0,1042
Al Khobar,2025-06-25,21.4,1024.03,75,7.2,979
Al Khobar,2025-06-26,21.5,1749.5,85,5.4,996
Al Khobar,2025-06-27,26.4,1006.13,51,4.2,1022
Al Khobar,2025-06-28,28.6,1384.95,28,3.0,1028
Al Khobar,2025-06-29,36.4,1772.83,74,4.2,1024
Al Khobar,2025-06-30,29.4,1599.99,41,29.8,968
Al Khobar,2025-07-01,41.2,1097.47,73,1.7,984
Al Khobar,2025-07-02,23.6,1230.71,57,9.2,1048
Al Khobar,2025-07-03,42.0,1732.91,19,21.4,1023
Al Khobar,2025-07-04,36.8,1486.89,26,16.4,1037
Al Khobar,2025-07-05,31.3,1126.91,62,1.5,1033
Al Khobar,2025-07-06,26.7,1883.34,56,20.2,1003
Al Khobar,2025-07-07,42.2,1122.23,31,29.5,996
Al Khobar,2025-07-08,38.0,888.73,32,19.6,956
Al Khobar,2025-07-09,30.8,1667.91,25,1.7,954
Al Khobar,2025-07-10,42.7,1335.26,40,28.3,977
Al Khobar,2025-07-11,36.9,1089.82,24,8.9,1039
Al Khobar,2025-07-12,35.1,1669.5,46,22.1,965
Al Khobar,2025-07-13,29.0,1157.53,36,11.1,1020
Al Khobar,2025-07-14,38.3,855.49,81,10.5,1034
Al Khobar,2025-07-15,34.7,1936.97,46,29.4,994
Al Khobar,2025-07-16,30.0,1452.31,58,11.6,1029
Al Khobar,2025-07-17,42.6,1586.42,39,16.2,1002
Al Khobar,2025-07-18,36.3,1616.19,46,19.9,1007
Al Khobar,2025-07-19,31.6,1490.27,69,26.8,989
Al Khobar,2025-07-20,21.1,1938.31,25,29.6,989
Al Khobar,2025-07-21,21.6,981.53,73,22.7,1018
Al Khobar,2025-07-22,44.4,1009.03,45,5.1,962
Al Khobar,2025-07-23,21.5,1972.12,80,15.0,958
Al Khobar,2025-07-24,40.9,1261.69,44,1.9,999
Al Ahsa,2025-06-25,42.1,1819.72,47,12.0,950
Al Ahsa,2025-06-26,22.3,855.09,42,8.2,1008
Al Ahsa,2025-06-27,23.0,1767.45,61,23.6,957
Al Ahsa,2025-06-28,25.6,1853.38,53,13.0,1022
Al Ahsa,2025-06-29,23.4,1012.22,79,9.2,1026
Al Ahsa,2025-06-30,24.2,1238.57,25,24.6,1016
Al Ahsa,2025-07-01,43.8,1433.18,83,5.6,995
Al Ahsa,2025-07-02,34.7,1161.4,34,12.9,1015
Al Ahsa,2025-07-03,25.2,983.52,11,25.8,953
Al Ahsa,2025-07-04,40.9,1429.98,78,22.5,1034
Al Ahsa,2025-07-05,26.1,1786.39,51,4.1,1027
Al Ahsa,2025-07-06,28.4,1276.68,10,29.9,1025
Al Ahsa,2025-07-07,26.6,848.42,68,16.8,1024
Al Ahsa,2025-07-08,36.5,914.44,55,29.2,968
Al Ahsa,2025-07-09,21.6,944.47,83,3.8,1049
Al Ahsa,2025-07-10,22.4,847.09,41,1.8,960
Al Ahsa,2025-07-11,28.6,1597.71,29,4.1,952
Al Ahsa,2025-07-12,33.2,1509.89,37,13.5,1025
Al Ahsa,2025-07-13,29.3,1639.55,30,29.3,952
Al Ahsa,2025-07-14,23.9,1699.66,45,19.5,1006
Al Ahsa,2025-07-15,36.8,1934.25,57,6.2,1000
Al Ahsa,2025-07-16,37.9,1695.56,88,16.2,987
Al Ahsa,2025-07-17,28.9,1173.29,58,28.1,1010
Al Ahsa,2025-07-18,25.3,1093.39,38,11.6,1002
Al Ahsa,2025-07-19,35.7,850.81,44,19.7,1015
Al Ahsa,2025-07-20,33.2,1549.08,44,16.3,1022
Al Ahsa,2025-07-21,21.5,1522.46,33,22.6,1021
Al Ahsa,2025-07-22,40.6,1564.2,22,5.7,984
Al Ahsa,2025-07-23,23.1,1707.76,88,25.0,962
Al Ahsa,2025-07-24,33.1,1514.57,36,3.9,1024
